,region,number_of_cases,number_of_cases_for_10k,date
14065,Małopolskie,258,0.76,2023-02-28
14066,Mazowieckie,364,0.67,2023-02-28
14067,Opolskie,60,0.61,2023-02-28
14068,Podkarpackie,171,0.8,2023-02-28
14069,Podlaskie,97,0.82,2023-02-28
14070,Pomorskie,149,0.63,2023-02-28
14071,Śląskie,502,1.11,2023-02-28
14072,Świętokrzyskie,65,0.53,2023-02-28
14073,Warmińsko-mazurskie,127,0.89,2023-02-28
14074,Wielkopolskie,218,0.62,2023-02-28
14075,Zachodniopomorskie,66,0.39,2023-02-28
14076,Cały kraj,3036,0.79,2023-03-01
14077,Dolnośląskie,118,0.41,2023-03-01
14078,Kujawsko-pomorskie,220,1.06,2023-03-01
14079,Lubelskie,264,1.26,2023-03-01
14080,Lubuskie,66,0.65,2023-03-01
14081,Łódzkie,208,0.85,2023-03-01
14082,Małopolskie,257,0.75,2023-03-01
14083,Mazowieckie,342,0.63,2023-03-01
14084,Opolskie,56,0.57,2023-03-01
14085,Podkarpackie,176,0.83,2023-03-01
14086,Podlaskie,93,0.79,2023-03-01
14087,Pomorskie,163,0.69,2023-03-01
14088,Śląskie,495,1.1,2023-03-01
14089,Świętokrzyskie,69,0.56,2023-03-01
14090,Warmińsko-mazurskie,143,1.01,2023-03-01
14091,Wielkopolskie,250,0.71,2023-03-01
14092,Zachodniopomorskie,80,0.47,2023-03-01
14093,Cały kraj,3291,0.86,2023-03-02
14094,Dolnośląskie,108,0.37,2023-03-02
14095,Kujawsko-pomorskie,277,1.34,2023-03-02
14096,Lubelskie,312,1.48,2023-03-02
14097,Lubuskie,66,0.65,2023-03-02
14098,Łódzkie,256,1.05,2023-03-02
14099,Małopolskie,300,0.88,2023-03-02
14100,Mazowieckie,387,0.71,2023-03-02
14101,Opolskie,56,0.57,2023-03-02
14102,Podkarpackie,145,0.68,2023-03-02
14103,Podlaskie,136,1.16,2023-03-02
14104,Pomorskie,156,0.66,2023-03-02
14105,Śląskie,448,0.99,2023-03-02
14106,Świętokrzyskie,109,0.89,2023-03-02
14107,Warmińsko-mazurskie,136,0.96,2023-03-02
14108,Wielkopolskie,262,0.75,2023-03-02
14109,Zachodniopomorskie,87,0.51,2023-03-02
14110,Cały kraj,3112,0.81,2023-03-03
14111,Dolnośląskie,115,0.4,2023-03-03
14112,Kujawsko-pomorskie,201,0.97,2023-03-03
14113,Lubelskie,236,1.12,2023-03-03
14114,Lubuskie,60,0.59,2023-03-03
14115,Łódzkie,198,0.81,2023-03-03
14116,Małopolskie,318,0.93,2023-03-03
14117,Mazowieckie,418,0.77,2023-03-03
14118,Opolskie,59,0.6,2023-03-03
14119,Podkarpackie,180,0.85,2023-03-03
14120,Podlaskie,126,1.07,2023-03-03
14121,Pomorskie,155,0.66,2023-03-03
14122,Śląskie,442,0.98,2023-03-03
14123,Świętokrzyskie,97,0.79,2023-03-03
14124,Warmińsko-mazurskie,133,0.94,2023-03-03
14125,Wielkopolskie,238,0.68,2023-03-03
14126,Zachodniopomorskie,104,0.61,2023-03-03
14127,Cały kraj,427,0.11,2023-03-04
14128,Dolnośląskie,14,0.05,2023-03-04
14129,Kujawsko-pomorskie,18,0.09,2023-03-04
14130,Lubelskie,15,0.07,2023-03-04
14131,Lubuskie,11,0.11,2023-03-04
14132,Łódzkie,26,0.11,2023-03-04
14133,Małopolskie,34,0.1,2023-03-04
14134,Mazowieckie,61,0.11,2023-03-04
14135,Opolskie,9,0.09,2023-03-04
14136,Podkarpackie,23,0.11,2023-03-04
14137,Podlaskie,15,0.13,2023-03-04
14138,Pomorskie,30,0.13,2023-03-04
14139,Śląskie,71,0.16,2023-03-04
14140,Świętokrzyskie,14,0.11,2023-03-04
14141,Warmińsko-mazurskie,13,0.09,2023-03-04
14142,Wielkopolskie,31,0.09,2023-03-04
14143,Zachodniopomorskie,10,0.06,2023-03-04
14144,Cały kraj,450,0.12,2023-03-05
14145,Dolnośląskie,13,0.04,2023-03-05
14146,Kujawsko-pomorskie,14,0.07,2023-03-05
14147,Lubelskie,30,0.14,2023-03-05
14148,Lubuskie,3,0.03,2023-03-05
14149,Łódzkie,35,0.14,2023-03-05
14150,Małopolskie,39,0.11,2023-03-05
14151,Mazowieckie,64,0.12,2023-03-05
14152,Opolskie,7,0.07,2023-03-05
14153,Podkarpackie,22,0.1,2023-03-05
14154,Podlaskie,15,0.13,2023-03-05
14155,Pomorskie,26,0.11,2023-03-05
14156,Śląskie,75,0.17,2023-03-05
14157,Świętokrzyskie,15,0.12,2023-03-05
14158,Warmińsko-mazurskie,15,0.11,2023-03-05
14159,Wielkopolskie,39,0.11,2023-03-05
14160,Zachodniopomorskie,7,0.04,2023-03-05
14161,Cały kraj,4833,1.26,2023-03-06
14162,Dolnośląskie,182,0.63,2023-03-06
14163,Kujawsko-pomorskie,376,1.82,2023-03-06
14164,Lubelskie,400,1.9,2023-03-06
14165,Lubuskie,103,1.02,2023-03-06
14166,Łódzkie,291,1.19,2023-03-06
14167,Małopolskie,468,1.37,2023-03-06
14168,Mazowieckie,714,1.32,2023-03-06
14169,Opolskie,99,1.01,2023-03-06
14170,Podkarpackie,221,1.04,2023-03-06
14171,Podlaskie,193,1.64,2023-03-06
14172,Pomorskie,238,1.01,2023-03-06
14173,Śląskie,677,1.5,2023-03-06
14174,Świętokrzyskie,167,1.36,2023-03-06
14175,Warmińsko-mazurskie,236,1.66,2023-03-06
14176,Wielkopolskie,292,0.83,2023-03-06
14177,Zachodniopomorskie,134,0.79,2023-03-06
14178,Cały kraj,3907,1.02,2023-03-07
14179,Dolnośląskie,135,0.47,2023-03-07
14180,Kujawsko-pomorskie,292,1.41,2023-03-07
14181,Lubelskie,318,1.51,2023-03-07
14182,Lubuskie,92,0.91,2023-03-07
14183,Łódzkie,203,0.83,2023-03-07
14184,Małopolskie,378,1.11,2023-03-07
14185,Mazowieckie,571,1.05,2023-03-07
14186,Opolskie,76,0.77,2023-03-07
14187,Podkarpackie,172,0.81,2023-03-07
14188,Podlaskie,171,1.45,2023-03-07
14189,Pomorskie,185,0.79,2023-03-07
14190,Śląskie,545,1.21,2023-03-07
14191,Świętokrzyskie,106,0.86,2023-03-07
14192,Warmińsko-mazurskie,183,1.29,2023-03-07
14193,Wielkopolskie,331,0.95,2023-03-07
14194,Zachodniopomorskie,114,0.67,2023-03-07
14195,Cały kraj,3462,0.9,2023-03-08
14196,Dolnośląskie,128,0.44,2023-03-08
14197,Kujawsko-pomorskie,217,1.05,2023-03-08
14198,Lubelskie,258,1.23,2023-03-08
14199,Lubuskie,88,0.87,2023-03-08
14200,Łódzkie,216,0.88,2023-03-08
14201,Małopolskie,299,0.88,2023-03-08
14202,Mazowieckie,501,0.92,2023-03-08
14203,Opolskie,100,1.02,2023-03-08
14204,Podkarpackie,184,0.87,2023-03-08
14205,Podlaskie,160,1.36,2023-03-08
14206,Pomorskie,152,0.65,2023-03-08
14207,Śląskie,427,0.95,2023-03-08
14208,Świętokrzyskie,115,0.93,2023-03-08
14209,Warmińsko-mazurskie,196,1.38,2023-03-08
14210,Wielkopolskie,303,0.87,2023-03-08
14211,Zachodniopomorskie,91,0.54,2023-03-08
14212,Cały kraj,3621,0.94,2023-03-09
14213,Dolnośląskie,129,0.45,2023-03-09
14214,Kujawsko-pomorskie,276,1.33,2023-03-09
14215,Lubelskie,324,1.54,2023-03-09
14216,Lubuskie,68,0.67,2023-03-09
14217,Łódzkie,227,0.93,2023-03-09
14218,Małopolskie,330,0.97,2023-03-09
14219,Mazowieckie,532,0.98,2023-03-09
14220,Opolskie,79,0.81,2023-03-09
14221,Podkarpackie,184,0.87,2023-03-09
14222,Podlaskie,150,1.27,2023-03-09
14223,Pomorskie,149,0.63,2023-03-09
14224,Śląskie,473,1.05,2023-03-09
14225,Świętokrzyskie,105,0.85,2023-03-09
14226,Warmińsko-mazurskie,169,1.19,2023-03-09
14227,Wielkopolskie,273,0.78,2023-03-09
14228,Zachodniopomorskie,116,0.69,2023-03-09
14229,Cały kraj,3633,0.95,2023-03-10
14230,Dolnośląskie,154,0.53,2023-03-10
14231,Kujawsko-pomorskie,233,1.13,2023-03-10
14232,Lubelskie,309,1.47,2023-03-10
14233,Lubuskie,71,0.7,2023-03-10
14234,Łódzkie,235,0.96,2023-03-10
14235,Małopolskie,378,1.11,2023-03-10
14236,Mazowieckie,517,0.95,2023-03-10
14237,Opolskie,88,0.9,2023-03-10
14238,Podkarpackie,183,0.86,2023-03-10
14239,Podlaskie,143,1.22,2023-03-10
14240,Pomorskie,142,0.61,2023-03-10
14241,Śląskie,426,0.94,2023-03-10
14242,Świętokrzyskie,138,1.12,2023-03-10
14243,Warmińsko-mazurskie,170,1.2,2023-03-10
14244,Wielkopolskie,312,0.89,2023-03-10
14245,Zachodniopomorskie,98,0.58,2023-03-10
14246,Cały kraj,479,0.12,2023-03-11
14247,Dolnośląskie,14,0.05,2023-03-11
14248,Kujawsko-pomorskie,26,0.13,2023-03-11
14249,Lubelskie,54,0.26,2023-03-11
14250,Lubuskie,14,0.14,2023-03-11
14251,Łódzkie,38,0.16,2023-03-11
14252,Małopolskie,47,0.14,2023-03-11
14253,Mazowieckie,57,0.11,2023-03-11
14254,Opolskie,12,0.12,2023-03-11
14255,Podkarpackie,21,0.1,2023-03-11
14256,Podlaskie,9,0.08,2023-03-11
14257,Pomorskie,36,0.15,2023-03-11
14258,Śląskie,51,0.11,2023-03-11
14259,Świętokrzyskie,19,0.15,2023-03-11
14260,Warmińsko-mazurskie,13,0.09,2023-03-11
14261,Wielkopolskie,37,0.11,2023-03-11
14262,Zachodniopomorskie,16,0.09,2023-03-11
14263,Cały kraj,535,0.14,2023-03-12
14264,Dolnośląskie,9,0.03,2023-03-12
14265,Kujawsko-pomorskie,21,0.1,2023-03-12
14266,Lubelskie,26,0.12,2023-03-12
14267,Lubuskie,13,0.13,2023-03-12
14268,Łódzkie,27,0.11,2023-03-12
14269,Małopolskie,51,0.15,2023-03-12
14270,Mazowieckie,94,0.17,2023-03-12
14271,Opolskie,17,0.17,2023-03-12
14272,Podkarpackie,38,0.18,2023-03-12
14273,Podlaskie,19,0.16,2023-03-12
14274,Pomorskie,34,0.14,2023-03-12
14275,Śląskie,66,0.15,2023-03-12
14276,Świętokrzyskie,25,0.2,2023-03-12
14277,Warmińsko-mazurskie,27,0.19,2023-03-12
14278,Wielkopolskie,31,0.09,2023-03-12
14279,Zachodniopomorskie,17,0.1,2023-03-12
14280,Cały kraj,5083,1.33,2023-03-13
14281,Dolnośląskie,220,0.76,2023-03-13
14282,Kujawsko-pomorskie,357,1.73,2023-03-13
14283,Lubelskie,390,1.85,2023-03-13
14284,Lubuskie,105,1.04,2023-03-13
14285,Łódzkie,306,1.25,2023-03-13
14286,Małopolskie,437,1.28,2023-03-13
14287,Mazowieckie,845,1.56,2023-03-13
14288,Opolskie,110,1.12,2023-03-13
14289,Podkarpackie,219,1.03,2023-03-13
14290,Podlaskie,199,1.69,2023-03-13
14291,Pomorskie,221,0.94,2023-03-13
14292,Śląskie,604,1.34,2023-03-13
14293,Świętokrzyskie,203,1.65,2023-03-13
14294,Warmińsko-mazurskie,236,1.66,2023-03-13
14295,Wielkopolskie,398,1.14,2023-03-13
14296,Zachodniopomorskie,182,1.07,2023-03-13
14297,Cały kraj,4071,1.06,2023-03-14
14298,Dolnośląskie,207,0.71,2023-03-14
14299,Kujawsko-pomorskie,323,1.56,2023-03-14
14300,Lubelskie,257,1.22,2023-03-14
14301,Lubuskie,101,1.0,2023-03-14
14302,Łódzkie,253,1.03,2023-03-14
14303,Małopolskie,296,0.87,2023-03-14
14304,Mazowieckie,661,1.22,2023-03-14
14305,Opolskie,84,0.86,2023-03-14
14306,Podkarpackie,162,0.76,2023-03-14
14307,Podlaskie,159,1.35,2023-03-14
14308,Pomorskie,185,0.79,2023-03-14
14309,Śląskie,449,1.0,2023-03-14
14310,Świętokrzyskie,152,1.24,2023-03-14
14311,Warmińsko-mazurskie,207,1.46,2023-03-14
14312,Wielkopolskie,309,0.88,2023-03-14
14313,Zachodniopomorskie,229,1.35,2023-03-14
14314,Cały kraj,3661,0.95,2023-03-15
14315,Dolnośląskie,188,0.65,2023-03-15
14316,Kujawsko-pomorskie,308,1.49,2023-03-15
14317,Lubelskie,258,1.23,2023-03-15
14318,Lubuskie,65,0.64,2023-03-15
14319,Łódzkie,199,0.81,2023-03-15
14320,Małopolskie,308,0.9,2023-03-15
14321,Mazowieckie,564,1.04,2023-03-15
14322,Opolskie,80,0.82,2023-03-15
14323,Podkarpackie,139,0.65,2023-03-15
14324,Podlaskie,122,1.04,2023-03-15
14325,Pomorskie,187,0.8,2023-03-15
14326,Śląskie,429,0.95,2023-03-15
14327,Świętokrzyskie,112,0.91,2023-03-15
14328,Warmińsko-mazurskie,174,1.22,2023-03-15
14329,Wielkopolskie,318,0.91,2023-03-15
14330,Zachodniopomorskie,181,1.07,2023-03-15
14331,Cały kraj,3364,0.88,2023-03-16
14332,Dolnośląskie,152,0.52,2023-03-16
14333,Kujawsko-pomorskie,243,1.17,2023-03-16
14334,Lubelskie,246,1.17,2023-03-16
14335,Lubuskie,73,0.72,2023-03-16
14336,Łódzkie,204,0.83,2023-03-16
14337,Małopolskie,290,0.85,2023-03-16
14338,Mazowieckie,537,0.99,2023-03-16
14339,Opolskie,53,0.54,2023-03-16
14340,Podkarpackie,135,0.64,2023-03-16
14341,Podlaskie,138,1.17,2023-03-16
14342,Pomorskie,154,0.66,2023-03-16
14343,Śląskie,374,0.83,2023-03-16
14344,Świętokrzyskie,117,0.95,2023-03-16
14345,Warmińsko-mazurskie,151,1.06,2023-03-16
14346,Wielkopolskie,270,0.77,2023-03-16
14347,Zachodniopomorskie,180,1.06,2023-03-16
14348,Cały kraj,3203,0.84,2023-03-17
14349,Dolnośląskie,144,0.5,2023-03-17
14350,Kujawsko-pomorskie,261,1.26,2023-03-17
14351,Lubelskie,220,1.05,2023-03-17
14352,Lubuskie,47,0.47,2023-03-17
14353,Łódzkie,204,0.83,2023-03-17
14354,Małopolskie,277,0.81,2023-03-17
14355,Mazowieckie,514,0.95,2023-03-17
14356,Opolskie,64,0.65,2023-03-17
14357,Podkarpackie,170,0.8,2023-03-17
14358,Podlaskie,142,1.21,2023-03-17
14359,Pomorskie,119,0.51,2023-03-17
14360,Śląskie,289,0.64,2023-03-17
14361,Świętokrzyskie,115,0.93,2023-03-17
14362,Warmińsko-mazurskie,136,0.96,2023-03-17
14363,Wielkopolskie,260,0.74,2023-03-17
14364,Zachodniopomorskie,202,1.19,2023-03-17
14365,Cały kraj,430,0.11,2023-03-18
14366,Dolnośląskie,25,0.09,2023-03-18
14367,Kujawsko-pomorskie,16,0.08,2023-03-18
14368,Lubelskie,28,0.13,2023-03-18
14369,Lubuskie,15,0.15,2023-03-18
14370,Łódzkie,30,0.12,2023-03-18
14371,Małopolskie,29,0.08,2023-03-18
14372,Mazowieckie,61,0.11,2023-03-18
14373,Opolskie,14,0.14,2023-03-18
14374,Podkarpackie,24,0.11,2023-03-18
14375,Podlaskie,15,0.13,2023-03-18
14376,Pomorskie,17,0.07,2023-03-18
14377,Śląskie,36,0.08,2023-03-18
14378,Świętokrzyskie,30,0.24,2023-03-18
14379,Warmińsko-mazurskie,26,0.18,2023-03-18
14380,Wielkopolskie,30,0.09,2023-03-18
14381,Zachodniopomorskie,16,0.09,2023-03-18
14382,Cały kraj,393,0.1,2023-03-19
14383,Dolnośląskie,24,0.08,2023-03-19
14384,Kujawsko-pomorskie,17,0.08,2023-03-19
14385,Lubelskie,21,0.1,2023-03-19
14386,Lubuskie,13,0.13,2023-03-19
14387,Łódzkie,25,0.1,2023-03-19
14388,Małopolskie,25,0.07,2023-03-19
14389,Mazowieckie,55,0.1,2023-03-19
14390,Opolskie,20,0.2,2023-03-19
14391,Podkarpackie,13,0.06,2023-03-19
14392,Podlaskie,12,0.1,2023-03-19
14393,Pomorskie,23,0.1,2023-03-19
14394,Śląskie,44,0.1,2023-03-19
14395,Świętokrzyskie,15,0.12,2023-03-19
14396,Warmińsko-mazurskie,26,0.18,2023-03-19
14397,Wielkopolskie,24,0.07,2023-03-19
14398,Zachodniopomorskie,16,0.09,2023-03-19
14399,Cały kraj,4203,1.1,2023-03-20
14400,Dolnośląskie,189,0.65,2023-03-20
14401,Kujawsko-pomorskie,337,1.63,2023-03-20
14402,Lubelskie,273,1.3,2023-03-20
14403,Lubuskie,80,0.79,2023-03-20
14404,Łódzkie,267,1.09,2023-03-20
14405,Małopolskie,300,0.88,2023-03-20
14406,Mazowieckie,727,1.34,2023-03-20
14407,Opolskie,108,1.1,2023-03-20
14408,Podkarpackie,149,0.7,2023-03-20
14409,Podlaskie,181,1.54,2023-03-20
14410,Pomorskie,218,0.93,2023-03-20
14411,Śląskie,378,0.84,2023-03-20
14412,Świętokrzyskie,188,1.53,2023-03-20
14413,Warmińsko-mazurskie,186,1.31,2023-03-20
14414,Wielkopolskie,327,0.93,2023-03-20
14415,Zachodniopomorskie,246,1.45,2023-03-20
14416,Cały kraj,3048,0.79,2023-03-21
14417,Dolnośląskie,144,0.5,2023-03-21
14418,Kujawsko-pomorskie,216,1.04,2023-03-21
14419,Lubelskie,200,0.95,2023-03-21
14420,Lubuskie,51,0.5,2023-03-21
14421,Łódzkie,171,0.7,2023-03-21
14422,Małopolskie,198,0.58,2023-03-21
14423,Mazowieckie,557,1.03,2023-03-21
14424,Opolskie,64,0.65,2023-03-21
14425,Podkarpackie,120,0.56,2023-03-21
14426,Podlaskie,123,1.05,2023-03-21
14427,Pomorskie,147,0.63,2023-03-21
14428,Śląskie,284,0.63,2023-03-21
14429,Świętokrzyskie,107,0.87,2023-03-21
14430,Warmińsko-mazurskie,137,0.96,2023-03-21
14431,Wielkopolskie,267,0.76,2023-03-21
14432,Zachodniopomorskie,217,1.28,2023-03-21
14433,Cały kraj,2724,0.71,2023-03-22
14434,Dolnośląskie,191,0.66,2023-03-22
14435,Kujawsko-pomorskie,185,0.89,2023-03-22
14436,Lubelskie,179,0.85,2023-03-22
14437,Lubuskie,58,0.57,2023-03-22
14438,Łódzkie,148,0.6,2023-03-22
14439,Małopolskie,191,0.56,2023-03-22
14440,Mazowieckie,471,0.87,2023-03-22
14441,Opolskie,78,0.8,2023-03-22
14442,Podkarpackie,108,0.51,2023-03-22
14443,Podlaskie,102,0.87,2023-03-22
14444,Pomorskie,141,0.6,2023-03-22
14445,Śląskie,229,0.51,2023-03-22
14446,Świętokrzyskie,113,0.92,2023-03-22
14447,Warmińsko-mazurskie,101,0.71,2023-03-22
14448,Wielkopolskie,205,0.59,2023-03-22
14449,Zachodniopomorskie,188,1.11,2023-03-22
14450,Cały kraj,2353,0.61,2023-03-23
14451,Dolnośląskie,112,0.39,2023-03-23
14452,Kujawsko-pomorskie,150,0.72,2023-03-23
14453,Lubelskie,171,0.81,2023-03-23
14454,Lubuskie,49,0.49,2023-03-23
14455,Łódzkie,167,0.68,2023-03-23
14456,Małopolskie,176,0.52,2023-03-23
14457,Mazowieckie,438,0.81,2023-03-23
14458,Opolskie,63,0.64,2023-03-23
14459,Podkarpackie,98,0.46,2023-03-23
14460,Podlaskie,94,0.8,2023-03-23
14461,Pomorskie,102,0.43,2023-03-23
14462,Śląskie,213,0.47,2023-03-23
14463,Świętokrzyskie,95,0.77,2023-03-23
14464,Warmińsko-mazurskie,91,0.64,2023-03-23
14465,Wielkopolskie,186,0.53,2023-03-23
14466,Zachodniopomorskie,128,0.76,2023-03-23
14467,Cały kraj,2359,0.62,2023-03-24
14468,Dolnośląskie,197,0.68,2023-03-24
14469,Kujawsko-pomorskie,137,0.66,2023-03-24
14470,Lubelskie,164,0.78,2023-03-24
14471,Lubuskie,37,0.37,2023-03-24
14472,Łódzkie,140,0.57,2023-03-24
14473,Małopolskie,174,0.51,2023-03-24
14474,Mazowieckie,399,0.74,2023-03-24
14475,Opolskie,73,0.74,2023-03-24
14476,Podkarpackie,97,0.46,2023-03-24
14477,Podlaskie,129,1.1,2023-03-24
14478,Pomorskie,108,0.46,2023-03-24
14479,Śląskie,186,0.41,2023-03-24
14480,Świętokrzyskie,96,0.78,2023-03-24
14481,Warmińsko-mazurskie,93,0.65,2023-03-24
14482,Wielkopolskie,173,0.49,2023-03-24
14483,Zachodniopomorskie,122,0.72,2023-03-24
14484,Cały kraj,303,0.08,2023-03-25
14485,Dolnośląskie,15,0.05,2023-03-25
14486,Kujawsko-pomorskie,12,0.06,2023-03-25
14487,Lubelskie,19,0.09,2023-03-25
14488,Lubuskie,2,0.02,2023-03-25
14489,Łódzkie,12,0.05,2023-03-25
14490,Małopolskie,18,0.05,2023-03-25
14491,Mazowieckie,52,0.1,2023-03-25
14492,Opolskie,10,0.1,2023-03-25
14493,Podkarpackie,22,0.1,2023-03-25
14494,Podlaskie,9,0.08,2023-03-25
14495,Pomorskie,20,0.09,2023-03-25
14496,Śląskie,24,0.05,2023-03-25
14497,Świętokrzyskie,20,0.16,2023-03-25
14498,Warmińsko-mazurskie,6,0.04,2023-03-25
14499,Wielkopolskie,27,0.08,2023-03-25
14500,Zachodniopomorskie,17,0.1,2023-03-25
14501,Cały kraj,329,0.09,2023-03-26
14502,Dolnośląskie,15,0.05,2023-03-26
14503,Kujawsko-pomorskie,10,0.05,2023-03-26
14504,Lubelskie,20,0.1,2023-03-26
14505,Lubuskie,8,0.08,2023-03-26
14506,Łódzkie,22,0.09,2023-03-26
14507,Małopolskie,38,0.11,2023-03-26
14508,Mazowieckie,46,0.08,2023-03-26
14509,Opolskie,8,0.08,2023-03-26
14510,Podkarpackie,14,0.07,2023-03-26
14511,Podlaskie,7,0.06,2023-03-26
14512,Pomorskie,22,0.09,2023-03-26
14513,Śląskie,34,0.08,2023-03-26
14514,Świętokrzyskie,21,0.17,2023-03-26
14515,Warmińsko-mazurskie,11,0.08,2023-03-26
14516,Wielkopolskie,24,0.07,2023-03-26
14517,Zachodniopomorskie,15,0.09,2023-03-26
14518,Cały kraj,2716,0.71,2023-03-27
14519,Dolnośląskie,200,0.69,2023-03-27
14520,Kujawsko-pomorskie,166,0.8,2023-03-27
14521,Lubelskie,199,0.95,2023-03-27
14522,Lubuskie,53,0.52,2023-03-27
14523,Łódzkie,126,0.51,2023-03-27
14524,Małopolskie,211,0.62,2023-03-27
14525,Mazowieckie,519,0.96,2023-03-27
14526,Opolskie,44,0.45,2023-03-27
14527,Podkarpackie,114,0.54,2023-03-27
14528,Podlaskie,132,1.12,2023-03-27
14529,Pomorskie,136,0.58,2023-03-27
14530,Śląskie,226,0.5,2023-03-27
14531,Świętokrzyskie,103,0.84,2023-03-27
14532,Warmińsko-mazurskie,103,0.73,2023-03-27
14533,Wielkopolskie,183,0.52,2023-03-27
14534,Zachodniopomorskie,178,1.05,2023-03-27
14535,Cały kraj,1763,0.46,2023-03-28
14536,Dolnośląskie,98,0.34,2023-03-28
14537,Kujawsko-pomorskie,80,0.39,2023-03-28
14538,Lubelskie,147,0.7,2023-03-28
14539,Lubuskie,28,0.28,2023-03-28
14540,Łódzkie,104,0.42,2023-03-28
14541,Małopolskie,128,0.37,2023-03-28
14542,Mazowieckie,329,0.61,2023-03-28
14543,Opolskie,42,0.43,2023-03-28
14544,Podkarpackie,72,0.34,2023-03-28
14545,Podlaskie,86,0.73,2023-03-28
14546,Pomorskie,79,0.34,2023-03-28
14547,Śląskie,130,0.29,2023-03-28
14548,Świętokrzyskie,86,0.7,2023-03-28
14549,Warmińsko-mazurskie,77,0.54,2023-03-28
14550,Wielkopolskie,104,0.3,2023-03-28
14551,Zachodniopomorskie,127,0.75,2023-03-28
14552,Cały kraj,1541,0.4,2023-03-29
14553,Dolnośląskie,64,0.22,2023-03-29
14554,Kujawsko-pomorskie,99,0.48,2023-03-29
14555,Lubelskie,118,0.56,2023-03-29
14556,Lubuskie,30,0.3,2023-03-29
14557,Łódzkie,80,0.33,2023-03-29
14558,Małopolskie,127,0.37,2023-03-29
14559,Mazowieckie,282,0.52,2023-03-29
14560,Opolskie,25,0.25,2023-03-29
14561,Podkarpackie,67,0.32,2023-03-29
14562,Podlaskie,70,0.59,2023-03-29
14563,Pomorskie,61,0.26,2023-03-29
14564,Śląskie,119,0.26,2023-03-29
14565,Świętokrzyskie,71,0.58,2023-03-29
14566,Warmińsko-mazurskie,75,0.53,2023-03-29
14567,Wielkopolskie,110,0.31,2023-03-29
14568,Zachodniopomorskie,122,0.72,2023-03-29
14569,Cały kraj,1461,0.38,2023-03-30
14570,Dolnośląskie,83,0.29,2023-03-30
14571,Kujawsko-pomorskie,82,0.4,2023-03-30
14572,Lubelskie,122,0.58,2023-03-30
14573,Lubuskie,27,0.27,2023-03-30
14574,Łódzkie,93,0.38,2023-03-30
14575,Małopolskie,88,0.26,2023-03-30
14576,Mazowieckie,269,0.5,2023-03-30
14577,Opolskie,21,0.21,2023-03-30
14578,Podkarpackie,49,0.23,2023-03-30
14579,Podlaskie,77,0.65,2023-03-30
14580,Pomorskie,72,0.31,2023-03-30
14581,Śląskie,121,0.27,2023-03-30
14582,Świętokrzyskie,70,0.57,2023-03-30
14583,Warmińsko-mazurskie,52,0.37,2023-03-30
14584,Wielkopolskie,90,0.26,2023-03-30
14585,Zachodniopomorskie,119,0.7,2023-03-30
14586,Cały kraj,1343,0.35,2023-03-31
14587,Dolnośląskie,84,0.29,2023-03-31
14588,Kujawsko-pomorskie,74,0.36,2023-03-31
14589,Lubelskie,120,0.57,2023-03-31
14590,Lubuskie,21,0.21,2023-03-31
14591,Łódzkie,82,0.33,2023-03-31
14592,Małopolskie,112,0.33,2023-03-31
14593,Mazowieckie,233,0.43,2023-03-31
14594,Opolskie,22,0.22,2023-03-31
14595,Podkarpackie,59,0.28,2023-03-31
14596,Podlaskie,68,0.58,2023-03-31
14597,Pomorskie,105,0.45,2023-03-31
14598,Śląskie,81,0.18,2023-03-31
14599,Świętokrzyskie,49,0.4,2023-03-31
14600,Warmińsko-mazurskie,58,0.41,2023-03-31
14601,Wielkopolskie,74,0.21,2023-03-31
14602,Zachodniopomorskie,87,0.51,2023-03-31
14603,Cały kraj,205,0.05,2023-04-01
14604,Dolnośląskie,6,0.02,2023-04-01
14605,Kujawsko-pomorskie,7,0.03,2023-04-01
14606,Lubelskie,7,0.03,2023-04-01
14607,Lubuskie,4,0.04,2023-04-01
14608,Łódzkie,16,0.07,2023-04-01
14609,Małopolskie,14,0.04,2023-04-01
14610,Mazowieckie,44,0.08,2023-04-01
14611,Opolskie,3,0.03,2023-04-01
14612,Podkarpackie,15,0.07,2023-04-01
14613,Podlaskie,12,0.1,2023-04-01
14614,Pomorskie,3,0.01,2023-04-01
14615,Śląskie,12,0.03,2023-04-01
14616,Świętokrzyskie,11,0.09,2023-04-01
14617,Warmińsko-mazurskie,8,0.06,2023-04-01
14618,Wielkopolskie,13,0.04,2023-04-01
14619,Zachodniopomorskie,19,0.11,2023-04-01
14620,Cały kraj,233,0.06,2023-04-02
14621,Dolnośląskie,14,0.05,2023-04-02
14622,Kujawsko-pomorskie,11,0.05,2023-04-02
14623,Lubelskie,18,0.09,2023-04-02
14624,Lubuskie,4,0.04,2023-04-02
14625,Łódzkie,12,0.05,2023-04-02
14626,Małopolskie,24,0.07,2023-04-02
14627,Mazowieckie,34,0.06,2023-04-02
14628,Opolskie,6,0.06,2023-04-02
14629,Podkarpackie,9,0.04,2023-04-02
14630,Podlaskie,9,0.08,2023-04-02
14631,Pomorskie,7,0.03,2023-04-02
14632,Śląskie,24,0.05,2023-04-02
14633,Świętokrzyskie,17,0.14,2023-04-02
14634,Warmińsko-mazurskie,5,0.04,2023-04-02
14635,Wielkopolskie,9,0.03,2023-04-02
14636,Zachodniopomorskie,15,0.09,2023-04-02
